date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:06	3717/3717	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:47%20GMT	http://societe-nettoyage-casablanca.com/images/shadow-down.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/shadow-down.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:06	2730/2730	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:02:16%20GMT	http://societe-nettoyage-casablanca.com/images/bottom_mask.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/bottom_mask.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:06	1039/1039	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:39%20GMT	http://societe-nettoyage-casablanca.com/images/plus01.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/plus01.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:06	3426/3426	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:02:19%20GMT	http://societe-nettoyage-casablanca.com/images/bottom_mask2.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/bottom_mask2.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:06	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:05:00%20GMT	http://societe-nettoyage-casablanca.com/images/devices/macbook.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/devices/macbook.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:07	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:05:00%20GMT	http://societe-nettoyage-casablanca.com/images/devices/macbook-air.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/devices/macbook-air.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:07	228137/228137	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:06:07%20GMT	http://societe-nettoyage-casablanca.com/js/plugins/jquery/jquery-ui.min.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/js/plugins/jquery/jquery-ui.min.js	(from http://societe-nettoyage-casablanca.com/)
14:47:07	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:05:00%20GMT	http://societe-nettoyage-casablanca.com/images/devices/iphone6.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/devices/iphone6.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:07	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:59%20GMT	http://societe-nettoyage-casablanca.com/images/devices/iphone6-2.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/devices/iphone6-2.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:07	653/653	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2018%20Jul%202019%2010:02:26%20GMT	http://societe-nettoyage-casablanca.com/images/circle-arr-hover.svg	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/circle-arr-hover.svg	(from http://societe-nettoyage-casablanca.com/css/template.css)
